"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
13712,605400,"Nola, Aaron",13712,100,0.232,0.16,0.292,0.393,0.29,0.287,0.232,767,3303,88.3,12.1,2230,87.1,87.88,1816,6745,6967,0.8000000000000114,6.87,111,150,117,148,295,325,294,"51.3","-51.3","69.42311756","7.396416984"
13339,554430,"Wheeler, Zack",13339,100,0.215,0.12,0.278,0.336,0.265,0.271,0.221,684,3179,85.8,11,2412,92.5,94.02,1818,6834,6505,1.5,7.17,111,150,116,148,294,324,293,"126.5","-126.5","69.444222649","7.030402971"
13271,656302,"Cease, Dylan",13271,100,0.218,0.147,0.289,0.365,0.294,0.296,0.216,609,2791,88.3,15.4,2629,89.9,89.69,1985,6177,7094,-0.20000000000000284,6.16,111,150,114,149,298,323,298,"45.2","-45.2","68.829941458","7.329455219"
13145,622491,"Castillo, Luis",13145,100,0.231,0.154,0.291,0.385,0.295,0.293,0.23,691,2993,88.1,10.7,2186,92.7,91.38,1909,6652,6493,-1.2999999999999972,5.5,113,151,118,148,292,320,294,"52.8","-52.8","69.641929308","7.135758561"
12786,669203,"Burnes, Corbin",12786,100,0.205,0.117,0.27,0.322,0.261,0.269,0.212,603,2941,86.4,9.7,2655,91.2,91.67,1960,6051,6734,0.5,6.47,112,151,119,148,298,321,296,"120","-120","68.953567498","7.424493465"
12682,592332,"Gausman, Kevin",12682,100,0.237,0.146,0.31,0.383,0.29,0.303,0.241,709,2993,88.7,12.9,2040,89.9,90.15,1889,6549,6133,0.19999999999998863,6.51,111,153,118,149,294,323,294,"62.6","-62.6","70.336309129","7.227179391"
12649,664285,"Valdez, Framber",12649,100,0.227,0.113,0.286,0.341,0.284,0.301,0.237,700,3077,90.3,-1,2357,88.4,87.55,1530,5762,6887,-0.9000000000000057,5.89,109,153,115,148,294,323,292,"83.3","-83.3","70.313073836","7.367626117"
12547,543037,"Cole, Gerrit",12547,100,0.214,0.161,0.277,0.375,0.278,0.285,0.219,613,2861,89.3,13.9,2447,92.4,92.47,1896,6171,6376,0.09999999999999432,6.4,112,153,120,151,295,327,290,"99.3","-99.3","69.289483786","7.052785375"
12488,450203,"Morton, Charlie",12488,100,0.234,0.144,0.302,0.378,0.308,0.312,0.234,644,2754,88.3,9.8,2592,88.2,87.96,1638,5690,6798,-0.20000000000000284,6.22,111,151,123,148,302,324,299,"20.9","-20.9","69.251494437","7.348680267"
12483,621244,"Berríos, José",12483,100,0.245,0.162,0.289,0.407,0.31,0.329,0.26,742,3023,88.6,12.6,2108,89.1,89.21,1357,5864,6619,0.10000000000000853,6.44,109,154,119,149,293,324,295,"21.9","-21.9","69.892136447","7.207503402"
12441,657277,"Webb, Logan",12441,100,0.246,0.109,0.306,0.355,0.285,0.301,0.255,750,3047,89,1.4,1964,88.2,89.23,1346,5791,6649,1,6.85,111,151,116,149,297,324,297,"85.6","-85.6","70.258359412","7.181543476"
12274,502043,"Gibson, Kyle",12274,100,0.259,0.159,0.3,0.417,0.321,0.329,0.263,751,2904,88.4,8.4,2208,87.6,88.45,1389,5542,6732,0.8000000000000114,6.78,111,151,116,148,298,324,295,"-29.5","29.5","70.172215403","7.539542942"
12268,605135,"Bassitt, Chris",12268,100,0.24,0.139,0.29,0.379,0.299,0.304,0.24,701,2923,86.9,12.4,2157,86.8,86.77,1291,5721,6547,0,6.33,111,151,118,149,294,324,296,"55.3","-55.3","69.099213232","6.970513896"
12070,668678,"Gallen, Zac",12070,100,0.223,0.143,0.28,0.366,0.287,0.305,0.239,619,2770,89.1,11.6,2247,89.2,89.64,1384,5546,6524,0.3999999999999915,6.6,111,151,119,150,299,322,297,"79.6","-79.6","69.597150617","7.416514864"
11897,571578,"Corbin, Patrick",11897,100,0.3,0.196,0.335,0.497,0.363,0.366,0.297,878,2924,89.6,10,2105,87,87.73,1260,5642,6255,0.7000000000000028,6.76,110,151,117,146,304,323,296,"-128.2","128.2","70.184330169","7.432794568"
11295,641154,"López, Pablo",11295,100,0.236,0.153,0.297,0.389,0.295,0.287,0.229,628,2663,86.8,11.4,2203,90,91.18,1604,5757,5538,1.2000000000000028,6.99,111,151,118,150,297,322,292,"56.2","-56.2","69.380008656","7.146457271"
11217,542881,"Anderson, Tyler",11217,100,0.244,0.164,0.275,0.408,0.309,0.313,0.247,659,2706,85.7,17.5,2164,85.5,85.19,1448,5705,5512,-0.29999999999999716,6.09,108,152,116,147,301,322,293,"14.4","-14.4","70.288200824","7.423851171"
11186,458681,"Lynn, Lance",11186,100,0.239,0.177,0.281,0.416,0.31,0.307,0.236,611,2556,88,15.9,2427,90.4,90.71,1508,5604,5582,0.29999999999999716,6.42,111,152,115,149,299,322,297,"-5.3","5.3","70.246373059","7.046839952"
11173,656756,"Montgomery, Jordan",11173,100,0.258,0.15,0.306,0.408,0.311,0.317,0.261,707,2740,87.4,11.2,2127,87.2,87.69,1481,5524,5649,0.5,6.57,110,152,119,147,300,321,291,"11","-11","69.841322693","7.444884858"
10967,605483,"Snell, Blake",10967,100,0.202,0.131,0.282,0.333,0.282,0.3,0.214,451,2233,87.6,12.4,2325,90.4,91.07,1702,4940,6027,0.6999999999999886,6.84,109,153,120,148,300,322,298,"81.3","-81.3","67.696396242","7.286661994"
10950,640455,"Manaea, Sean",10950,100,0.243,0.166,0.294,0.409,0.309,0.313,0.244,618,2543,89.3,13.9,1894,88.4,89.75,1406,5497,5453,1.3999999999999915,7.16,109,152,119,149,300,323,297,"4.8","-4.8","68.992795671","6.973501107"
10946,663903,"Singer, Brady",10946,100,0.263,0.146,0.317,0.409,0.32,0.323,0.259,673,2563,88.8,8.1,2310,89.1,90.11,1159,4863,6082,1,6.79,110,153,117,148,297,325,299,"-0.7","0.7","69.496637828","7.255210018"
10785,543135,"Eovaldi, Nathan",10785,100,0.242,0.158,0.297,0.4,0.298,0.302,0.245,636,2629,88.7,9.5,2028,89.8,90.44,1457,5528,5256,0.6000000000000085,6.69,113,153,117,150,296,328,298,"49.3","-49.3","69.990851888","7.260056409"
10723,669302,"Gilbert, Logan",10723,100,0.229,0.162,0.276,0.391,0.286,0.3,0.242,584,2555,89.7,14.3,2004,90.4,92.3,1473,5471,5252,1.8999999999999915,7.42,112,151,117,148,292,321,295,"55.9","-55.9","69.35051","7.351874343"
10708,608331,"Fried, Max",10708,100,0.233,0.108,0.289,0.341,0.276,0.283,0.235,595,2551,85.6,5.6,2262,86.9,87.13,1302,5139,5569,0.19999999999998863,6.37,108,152,120,149,306,324,294,"102.5","-102.5","68.805464964","7.126383684"
10623,601713,"Pivetta, Nick",10623,100,0.234,0.192,0.286,0.427,0.316,0.313,0.231,554,2363,90.1,16.5,2418,88.3,88.77,1326,5152,5470,0.5,6.71,111,153,117,149,291,327,296,"-3.2","3.2","69.536596221","7.179949083"
10579,579328,"Kikuchi, Yusei",10579,100,0.249,0.179,0.307,0.428,0.324,0.329,0.25,595,2393,90.5,10.6,2254,90.7,91.59,1470,5101,5477,0.8999999999999915,6.84,107,152,119,147,298,323,289,"-7.5","7.5","70.411008429","7.103164438"
10543,506433,"Darvish, Yu",10543,100,0.224,0.16,0.276,0.384,0.287,0.291,0.226,553,2470,88.3,15.4,2544,87.6,87.86,1347,5128,5414,0.30000000000001137,6.49,114,156,122,149,295,322,301,"70.5","-70.5","69.957770701","7.511570701"
10517,656605,"Keller, Mitch",10517,100,0.264,0.154,0.32,0.418,0.328,0.324,0.254,647,2451,88.2,10.3,2443,89.8,90,1069,4909,5606,0.20000000000000284,6.38,109,150,114,149,301,322,296,"-15.6","15.6","69.134074596","7.007804862"
10356,543243,"Gray, Sonny",10356,100,0.226,0.136,0.291,0.362,0.287,0.295,0.236,556,2465,87.8,9.7,2552,87.6,87.94,1231,4708,5648,0.30000000000001137,6.51,113,151,117,149,297,323,293,"66.6","-66.6","68.836229471","7.261247669"
10317,608337,"Giolito, Lucas",10317,100,0.235,0.19,0.288,0.425,0.314,0.304,0.231,537,2287,88.1,16.5,1971,87.4,88.22,1531,4995,5322,0.7999999999999972,6.76,110,151,114,149,299,323,297,"-2.1","2.1",,
10137,527048,"Pérez, Martín",10137,100,0.271,0.152,0.31,0.423,0.331,0.334,0.266,668,2465,87.7,9.9,2005,88.3,87.74,903,4576,5561,-0.5999999999999943,5.91,110,151,116,147,300,325,295,"-19","19","71.169691443","7.424689438"
10051,615698,"Quantrill, Cal",10051,100,0.256,0.154,0.285,0.409,0.319,0.332,0.263,596,2331,87.3,12.3,2017,89.9,90.31,982,4743,5307,0.3999999999999915,6.45,112,152,119,149,295,319,295,"10.1","-10.1","70.049081345","7.253796879"
10005,592836,"Walker, Taijuan",10005,100,0.242,0.165,0.275,0.407,0.314,0.329,0.253,565,2330,89,12.1,2010,89,88.48,978,4528,5476,-0.5,5.96,112,153,116,149,297,325,297,"-4.4","4.4","70.939211959","7.26325251"
9951,642547,"Peralta, Freddy",9951,100,0.2,0.152,0.263,0.352,0.279,0.278,0.202,424,2121,86.5,17.4,2264,88.3,89.35,1504,4604,5347,1,6.95,111,152,119,148,300,323,297,"59.8","-59.8","69.199371153","7.140496892"
9927,592791,"Taillon, Jameson",9927,100,0.249,0.178,0.281,0.427,0.311,0.316,0.252,598,2400,88.3,16.7,2452,88.8,89.42,1118,4910,5016,0.6000000000000085,6.64,111,153,117,150,298,326,292,"-2.2","2.2","70.051755128","7.338175949"
9921,645261,"Alcantara, Sandy",9921,100,0.228,0.131,0.274,0.359,0.28,0.291,0.236,567,2492,87.5,5.6,2237,94.2,93.48,1367,5281,4639,-0.7000000000000028,5.97,110,151,117,150,300,318,293,"65.1","-65.1",,
9855,518876,"Kelly, Merrill",9855,100,0.235,0.159,0.277,0.394,0.299,0.315,0.248,556,2371,88.5,12.5,2315,89.5,89.36,1127,4789,5065,-0.09999999999999432,6.21,112,152,119,149,300,322,298,"34.4","-34.4","70.275632483","7.467740374"
9841,571760,"Heaney, Andrew",9841,100,0.245,0.189,0.299,0.434,0.322,0.317,0.238,542,2210,89,16.4,2403,87.9,87.64,1368,4862,4979,-0.30000000000001137,6.28,111,152,117,148,302,324,295,"-10.2","10.2","70.183333122","7.289808834"
9834,543475,"Lyles, Jordan",9834,100,0.27,0.213,0.288,0.483,0.345,0.344,0.269,635,2348,88.6,16.1,2289,86.7,87.41,993,4633,5201,0.7000000000000028,6.77,111,154,118,148,299,325,294,"-71.8","71.8","69.925844167","7.254006667"
9781,453286,"Scherzer, Max",9781,100,0.214,0.159,0.275,0.373,0.279,0.28,0.211,486,2272,87.5,19.3,2278,88.5,88.37,1561,5002,4779,-0.09999999999999432,6.26,113,154,119,148,298,323,296,"74.8","-74.8","69.487415763","7.332594174"
9677,607536,"Freeland, Kyle",9677,100,0.288,0.185,0.319,0.473,0.35,0.342,0.275,697,2419,88.8,11.8,2241,86.8,87.57,906,4658,5019,0.7999999999999972,6.58,110,151,121,146,304,330,300,"-47.6","47.6","70.898410803","7.370236803"
9573,573186,"Stroman, Marcus",9573,100,0.243,0.132,0.286,0.376,0.299,0.322,0.262,549,2258,88.7,6.2,2371,88.5,87.92,1021,4401,5171,-0.5999999999999943,5.78,111,152,116,152,296,323,293,"31.1","-31.1","70.240085905","7.304663837"
9538,571945,"Mikolas, Miles",9538,100,0.261,0.169,0.286,0.43,0.313,0.33,0.273,612,2345,88.7,12.6,2287,87.8,87.95,809,4698,4839,0.20000000000000284,6.39,114,152,116,149,301,320,300,"-4.9","4.9","70.708925033","7.199507139"
9521,605397,"Musgrove, Joe",9521,100,0.23,0.152,0.286,0.381,0.295,0.296,0.232,508,2211,87.1,11.4,2626,87.3,86.76,1241,4499,5021,-0.5,6,113,156,123,148,296,321,301,"63.8","-63.8","69.817544","7.24772702"
9474,664299,"Javier, Cristian",9474,100,0.197,0.173,0.241,0.37,0.288,0.294,0.201,387,1968,88.5,24.4,2430,87.7,87.03,1292,4452,5022,-0.7000000000000028,5.97,112,154,117,150,293,324,294,"51.4","-51.4","69.008798073","7.363293229"
9464,641540,"Dunning, Dane",9464,100,0.259,0.161,0.304,0.42,0.329,0.33,0.257,572,2210,88.3,8.5,2078,86.3,86.85,1020,4320,5143,0.6000000000000085,6.69,114,152,118,149,301,326,298,"-3.1","3.1","70.054776939","7.29519447"
9341,592351,"Gray, Jon",9341,100,0.248,0.156,0.294,0.405,0.312,0.317,0.253,550,2214,88.8,12.1,2163,90.4,90.79,1168,4563,4778,0.3999999999999915,6.49,114,151,118,149,300,327,300,"-3.8","3.8","70.100958505","7.253452445"
9320,543294,"Hendricks, Kyle",9320,100,0.269,0.175,0.294,0.444,0.326,0.328,0.272,631,2348,85.5,11.8,2102,83.5,82.77,938,4413,4906,-0.7000000000000028,5.72,111,153,115,151,298,323,296,"-24.2","24.2","69.713006992","7.355828177"
9271,607074,"Rodón, Carlos",9271,100,0.218,0.155,0.288,0.373,0.289,0.286,0.212,437,2004,89.4,19.3,2346,91,90.73,1414,4653,4618,-0.29999999999999716,6.15,109,152,116,149,297,323,290,"38.8","-38.8","69.800741142","7.306390769"
9189,623167,"Flexen, Chris",9189,100,0.277,0.177,0.303,0.453,0.339,0.337,0.268,605,2188,88.7,15,2136,86.9,86.74,934,4429,4760,-0.20000000000000284,6.12,111,151,117,148,294,323,297,"-31.4","31.4","70.1367035","7.389390207"
9097,650644,"Civale, Aaron",9097,100,0.251,0.178,0.29,0.429,0.316,0.315,0.253,536,2139,88.2,13.8,2553,86,85.25,966,4217,4879,-0.7999999999999972,5.76,110,152,118,149,296,321,295,"7.9","-7.9","69.584617645","7.24567981"
9083,425794,"Wainwright, Adam",9083,100,0.259,0.148,0.294,0.408,0.314,0.333,0.274,575,2216,87.8,10.8,2409,81.9,82.13,704,3943,5140,0.19999999999998863,6.46,114,154,116,149,300,321,301,"8.4","-8.4",,
9051,608379,"Wacha, Michael",9051,100,0.251,0.178,0.291,0.429,0.315,0.33,0.262,546,2174,87.9,14.6,1915,87.7,88.28,1034,4518,4533,0.5999999999999943,6.72,111,152,116,149,297,324,295,"9.4","-9.4","68.513231894","7.258608407"
8931,596295,"Gomber, Austin",8931,100,0.267,0.199,0.293,0.466,0.338,0.338,0.27,575,2151,88.6,12.2,2169,85.4,86.19,912,4228,4702,0.7999999999999972,6.64,109,151,121,146,303,330,299,"-40.6","40.6","70.58480136","7.417564274"
8815,628711,"Urías, Julio",8815,100,0.219,0.16,0.258,0.378,0.278,0.28,0.22,467,2136,85.9,16.9,2528,88,87.16,1106,4509,4306,-0.7999999999999972,5.67,110,155,117,149,300,316,289,"65.9","-65.9",,
8758,669373,"Skubal, Tarik",8758,100,0.223,0.158,0.281,0.381,0.285,0.294,0.23,455,2043,88.5,12.2,2049,90.4,90.29,1281,4437,4321,-0.10000000000000853,6.26,108,152,117,147,301,328,292,"46.7","-46.7","68.94974875","7.096938307"
