"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
52108,434378,"Verlander, Justin",52108,100,0.222,0.137,0.276,0.359,0.28,0.273,0.21,2634,11891,87.9,19.1,2537,90.1,89.07,6369,25594,26435,-1,5.91,111,153,115,149,294,320,292,"378.2","-378.2","69.174112931","7.185802328"
48905,453286,"Scherzer, Max",48905,100,0.22,0.152,0.288,0.371,0.284,0.264,0.2,2450,11150,87.1,18.6,2309,89.8,88.92,7148,24385,24463,-0.8999999999999915,6.07,112,152,114,148,295,315,294,"343.9","-343.9","69.487415763","7.332594174"
47573,425844,"Greinke, Zack",47573,100,0.244,0.142,0.292,0.386,0.293,0.304,0.249,2805,11514,87.8,10.7,2245,87.2,85.35,5123,21865,25670,-1.9000000000000057,5.87,112,153,115,150,298,323,298,"245.2","-245.2",,
44996,452657,"Lester, Jon",44996,100,0.248,0.141,0.299,0.389,0.306,0.312,0.249,2569,10355,87.4,11.4,2242,88.5,87.36,4555,20625,24353,-1.0999999999999943,6.23,109,151,109,148,295,316,291,"139.7","-139.7",,
44494,477132,"Kershaw, Clayton",44494,100,0.211,0.119,0.274,0.33,0.261,0.267,0.218,2256,10683,87.2,10.4,2420,88.3,87.04,5895,21757,22637,-1.2999999999999972,6.21,111,153,111,147,296,313,291,"493.2","-493.2","70.238428058","7.574915992"
38845,430935,"Hamels, Cole",38845,100,0.239,0.147,0.289,0.386,0.299,0.315,0.244,2224,9287,88.2,10.1,1993,87.7,88.04,4960,19083,19645,0.29999999999999716,6.27,107,150,109,147,298,322,295,"172.9","-172.9",,
38680,425794,"Wainwright, Adam",38680,100,0.253,0.132,0.302,0.385,0.301,0.328,0.27,2397,9462,87.4,10.4,2387,84.2,82.85,3497,17246,21355,-1.4000000000000057,6.34,113,151,113,148,298,319,300,"177.2","-177.2",,
37110,448306,"Shields, James",37110,100,0.258,0.171,0.297,0.429,0.324,0.341,0.258,2314,8986,88.5,13.7,2216,86.9,86.46,4033,17340,19699,-0.4000000000000057,6.71,109,150,109,146,292,311,291,"-10.2","10.2",,
36752,456501,"Cueto, Johnny",36752,100,0.246,0.151,0.285,0.397,0.307,0.32,0.258,2127,8644,87.2,12.8,2067,89,86.92,3712,17560,19122,-2.0999999999999943,5.63,111,151,112,148,293,315,295,"105.1","-105.1","70.306630946","7.191913108"
36293,518516,"Bumgarner, Madison",36293,100,0.239,0.151,0.286,0.39,0.295,0.315,0.247,2081,8715,88.7,15.7,2267,87.4,86.78,4041,17699,18501,-0.6000000000000085,6.37,109,150,113,146,296,319,294,"134.1","-134.1",,
35802,282332,"Sabathia, CC",35802,100,0.252,0.143,0.299,0.395,0.308,0.303,0.239,2196,8718,85.7,10.7,2099,88.2,86.93,4062,16909,18773,-1.2999999999999972,6.74,104,151,110,145,298,320,287,"81.9","-81.9",,
35779,450203,"Morton, Charlie",35779,100,0.248,0.136,0.307,0.384,0.314,0.302,0.23,2037,8223,87.7,8.4,2496,88.4,87.84,3979,16351,19338,-0.6000000000000085,5.98,110,152,119,148,297,321,296,"20.3","-20.3","69.251494437","7.348680267"
35452,456034,"Price, David",35452,100,0.238,0.14,0.291,0.378,0.293,0.301,0.24,2021,8482,87.6,12.1,2073,90.6,89.09,3798,16961,18447,-1.5,5.91,107,151,113,147,289,317,287,"157.5","-157.5",,
35231,458681,"Lynn, Lance",35231,100,0.245,0.15,0.301,0.394,0.309,0.305,0.234,1918,7839,87.7,13.5,2383,90.8,90.76,4125,16812,18352,0,6.2,111,151,113,148,296,320,297,"69.2","-69.2","70.246373059","7.046839952"
34856,433587,"Hernández, Félix",34856,100,0.239,0.128,0.291,0.366,0.294,0.336,0.26,2022,8474,89,8.8,2047,89.5,86.46,3768,16172,18625,-3,6.26,109,151,110,147,290,315,292,"204.3","-204.3",,
34090,519144,"Porcello, Rick",34090,100,0.275,0.156,0.31,0.431,0.325,0.323,0.259,2314,8428,88.3,13.4,2380,87.5,86.2,2942,16053,17971,-1.2999999999999972,6.02,111,151,115,147,283,319,292,"-71.1","71.1",,
33573,461829,"González, Gio",33573,100,0.24,0.129,0.297,0.368,0.304,0.314,0.244,1767,7376,87.4,9.6,2205,87.6,85.63,3465,14606,18919,-2,6.01,108,150,111,146,297,309,289,"83.5","-83.5",,
32839,457918,"Happ, J.A.",32839,100,0.252,0.169,0.292,0.421,0.321,0.317,0.25,1851,7342,88.5,13,2216,88.8,88.86,3164,15210,17587,0.10000000000000853,5.99,107,152,114,147,297,322,290,"28","-28",,
32554,500779,"Quintana, Jose",32554,100,0.256,0.143,0.305,0.399,0.309,0.315,0.256,1921,7506,88.1,11.7,1992,87.5,87.34,3128,14681,17810,-0.20000000000000284,6.41,109,151,111,147,299,318,291,"39.1","-39.1","69.077610389","7.258955636"
32542,543037,"Cole, Gerrit",32542,100,0.224,0.144,0.293,0.368,0.282,0.284,0.222,1688,7526,88.4,12.6,2390,92.5,92.16,4438,15792,16725,-0.29999999999999716,6.25,111,152,116,150,294,321,292,"247","-247","69.289483786","7.052785375"
31979,434671,"Sánchez, Aníbal",31979,100,0.252,0.156,0.299,0.408,0.314,0.315,0.247,1878,7442,87.2,15.1,2092,87.5,86.78,3501,14954,16915,-0.7000000000000028,6.17,110,151,113,146,298,317,293,"25.4","-25.4",,
31905,453178,"Kennedy, Ian",31905,100,0.25,0.182,0.292,0.432,0.324,0.333,0.25,1806,7224,89.5,18.1,2309,88.1,89.16,3368,15022,16819,1.1000000000000085,6.35,112,151,113,146,297,320,298,"-18.7","18.7",,
31626,429722,"Santana, Ervin",31626,100,0.25,0.164,0.282,0.414,0.315,0.33,0.258,1913,7654,87.9,15.1,2150,89.1,88.15,3235,14580,16917,-1,5.91,108,149,111,146,293,316,292,"46.7","-46.7",,
31364,519242,"Sale, Chris",31364,100,0.22,0.135,0.299,0.355,0.276,0.27,0.21,1614,7326,86.9,12.9,2260,88.1,87.25,4382,14941,16375,-0.7999999999999972,6.04,108,150,112,147,292,318,286,"233.1","-233.1","68.069277135","7.33795667"
30732,434622,"Jiménez, Ubaldo",30732,100,0.25,0.143,0.304,0.393,0.322,0.327,0.255,1700,6804,88.2,10.6,2024,89.6,86.71,2801,13051,17555,-2.8999999999999915,5.84,107,153,117,147,297,311,295,"-23.3","23.3",,
30328,502043,"Gibson, Kyle",30328,100,0.266,0.152,0.306,0.417,0.325,0.33,0.265,1894,7128,88.2,7.5,2158,88.3,88.72,3373,13816,16488,0.4000000000000057,6.62,109,150,114,147,295,320,294,"-74","74","70.172215403","7.539542942"
30315,571578,"Corbin, Patrick",30315,100,0.271,0.171,0.321,0.443,0.331,0.339,0.272,2012,7415,89.3,9,2176,87.2,87.36,3608,14430,15869,0.20000000000000284,6.51,108,151,115,147,303,322,297,"-99.6","99.6","70.184330169","7.432794568"
29791,451596,"Gallardo, Yovani",29791,100,0.255,0.149,0.3,0.404,0.32,0.341,0.272,1693,6637,88.3,11.2,2164,88.6,87.7,2497,12348,17368,-0.8999999999999915,5.89,108,152,111,148,293,315,297,"6.6","-6.6",,
29080,489119,"Miley, Wade",29080,100,0.262,0.15,0.301,0.413,0.321,0.325,0.26,1782,6790,86.9,7.9,2164,87.1,85.69,2784,13136,15921,-1.3999999999999915,5.95,107,151,113,146,296,317,292,"-39.4","39.4","68.194511957","7.001474565"
28823,450308,"Weaver, Jered",28823,100,0.242,0.161,0.272,0.403,0.304,0.339,0.266,1651,6829,87.4,18.9,2147,82.8,77.62,2883,12997,15749,-5.200000000000003,6.23,109,149,109,147,300,322,301,"110.3","-110.3",,
28609,592332,"Gausman, Kevin",28609,100,0.254,0.158,0.313,0.411,0.31,0.315,0.25,1679,6621,88.4,12.4,2059,90.4,90.22,3837,14249,14349,-0.20000000000000284,6.36,109,153,116,148,296,319,294,"59.1","-59.1","70.336309129","7.227179391"
28369,429719,"Jackson, Edwin",28369,100,0.272,0.176,0.308,0.448,0.34,0.357,0.271,1808,6647,88.6,14.3,2249,91,89.85,2997,13308,14922,-1.0999999999999943,6.17,109,150,114,148,296,318,296,"-117.3","117.3",,
28206,285079,"Dickey, R.A.",28206,100,0.251,0.159,0.278,0.409,0.316,0.327,0.261,1721,6867,87,11.7,1715,77.6,75.86,2820,13407,14738,-1.6999999999999886,5.45,109,151,112,148,292,315,290,"17.5","-17.5",,
28137,434538,"Liriano, Francisco",28137,100,0.244,0.138,0.301,0.382,0.316,0.321,0.241,1559,6382,86.9,7.7,2025,89.3,88.87,3611,12507,15592,-0.3999999999999915,6.19,107,150,111,146,300,317,289,"-21.9","21.9",,
28119,506433,"Darvish, Yu",28119,100,0.221,0.158,0.283,0.38,0.291,0.294,0.225,1430,6466,87.8,14.4,2528,88,88.25,3666,13198,14900,0.20000000000000284,6.32,112,153,117,149,295,323,299,"154.2","-154.2","69.957770701","7.511570701"
27867,407793,"Lackey, John",27867,100,0.26,0.154,0.299,0.414,0.318,0.317,0.252,1771,6816,88.4,12.8,2165,88.1,87.88,2742,13249,14554,-0.19999999999998863,6.22,113,150,109,148,294,315,295,"40.8","-40.8",,
27860,543243,"Gray, Sonny",27860,100,0.23,0.13,0.284,0.359,0.289,0.301,0.238,1506,6560,88.1,8.2,2508,88.8,88.7,3099,12444,15404,-0.09999999999999432,6.3,112,152,115,148,295,321,294,"149.6","-149.6","68.836229471","7.261247669"
27686,445060,"Nolasco, Ricky",27686,100,0.275,0.168,0.316,0.443,0.328,0.341,0.276,1865,6780,89,12.7,2064,85.6,83.61,2854,13102,14439,-2,5.38,110,150,109,147,297,319,297,"-76.9","76.9",,
27559,502190,"Leake, Mike",27559,100,0.273,0.166,0.299,0.439,0.325,0.336,0.284,1946,7131,89.1,7.9,2132,87.1,85.13,2201,12914,14553,-2,5.15,111,150,110,147,293,316,295,"-43.7","43.7",,
27525,434628,"Hammel, Jason",27525,100,0.269,0.162,0.306,0.43,0.328,0.338,0.27,1778,6617,88.8,14.4,2202,88.8,88.39,2672,12874,14542,-0.3999999999999915,6.34,114,151,110,146,295,315,296,"-72","72",,
27325,572971,"Keuchel, Dallas",27325,100,0.262,0.142,0.3,0.404,0.315,0.313,0.258,1720,6577,87.3,3.3,2014,85.3,84.86,2674,12111,15183,-0.3999999999999915,6.03,106,150,113,148,292,317,287,"-11.3","11.3","71.706041376","7.55528"
27106,430912,"Cain, Matt",27106,100,0.242,0.15,0.278,0.392,0.304,0.364,0.29,1535,6354,88.7,14.3,2394,88.2,84.43,2616,12754,14227,-3.799999999999997,5.25,110,148,110,147,289,313,297,"114.5","-114.5",,
27069,453562,"Arrieta, Jake",27069,100,0.238,0.146,0.283,0.384,0.303,0.306,0.242,1486,6235,87.5,7.5,2283,90.2,89.73,2549,12065,14956,-0.5,6.05,112,152,111,149,294,316,293,"41.6","-41.6",,
26546,502188,"Samardzija, Jeff",26546,100,0.249,0.164,0.291,0.414,0.312,0.319,0.255,1563,6274,88.1,14.3,2375,90.8,89.75,2873,12774,13692,-1,6.05,111,150,110,147,292,315,295,"-2.9","2.9",,
26434,543135,"Eovaldi, Nathan",26434,100,0.256,0.148,0.303,0.404,0.31,0.306,0.248,1610,6278,88.8,9.1,2046,91,90.73,3022,13080,13301,-0.29999999999999716,6.34,111,152,115,149,293,323,295,"29.1","-29.1","69.990851888","7.260056409"
