playerID,yearID,round,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
aasedo01,1979,ALCS,CAL,AL,1,0,2,0,0,0,0,15,4,1,0,2,6,0.235,1.8,1.0,0.0,0.0,0.0,20.0,2,1,0.0,1.0,0.0
abadfe01,2014,ALWC,OAK,AL,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0
abbotgl01,1975,ALCS,OAK,AL,0,0,1,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0,0.0,0.0,0.0
abbotpa01,2000,ALCS,SEA,AL,0,1,1,1,0,0,0,15,3,3,1,3,3,0.167,5.4,0.0,0.0,0.0,0.0,21.0,0,3,0.0,0.0,0.0
abbotpa01,2000,ALDS2,SEA,AL,1,0,1,1,0,0,0,17,5,1,0,3,1,0.25,1.59,0.0,0.0,1.0,0.0,25.0,0,2,0.0,1.0,1.0
abbotpa01,2001,ALCS,SEA,AL,0,0,1,1,0,0,0,15,0,0,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0,0,1.0,0.0,0.0
abbotpa01,2001,ALDS1,SEA,AL,0,0,1,0,0,0,0,9,9,8,3,5,3,0.529,24.0,0.0,0.0,0.0,0.0,22.0,0,8,0.0,0.0,0.0
abreubr01,2019,ALCS,HOU,AL,0,0,1,0,0,0,0,2,2,2,1,2,0,0.5,27.0,0.0,0.0,0.0,0.0,6.0,0,2,0.0,0.0,0.0
abreubr01,2022,ALCS,HOU,AL,0,0,3,0,0,0,0,9,2,0,0,1,4,0.182,0.0,0.0,0.0,0.0,0.0,12.0,1,0,0.0,0.0,0.0
abreubr01,2022,ALDS2,HOU,AL,0,0,3,0,0,0,0,10,1,0,0,1,6,0.091,0.0,0.0,0.0,0.0,0.0,12.0,0,0,0.0,0.0,0.0
abreubr01,2022,WS,HOU,AL,0,0,4,0,0,0,0,15,1,0,0,2,9,0.062,0.0,0.0,0.0,1.0,0.0,19.0,0,0,0.0,0.0,0.0
abreubr01,2023,ALCS,HOU,AL,0,0,4,0,0,0,0,12,3,3,1,0,7,0.2,6.75,0.0,0.0,1.0,0.0,16.0,1,3,0.0,0.0,0.0
abreubr01,2023,ALDS2,HOU,AL,0,0,1,0,0,0,0,4,2,0,0,0,3,0.333,0.0,0.0,1.0,0.0,0.0,6.0,0,0,0.0,0.0,0.0
aceveal01,2009,ALCS,NYA,AL,0,1,2,0,0,0,0,4,3,2,0,2,0,0.6,13.5,1.0,0.0,0.0,0.0,8.0,1,2,1.0,0.0,1.0
aceveal01,2009,ALDS1,NYA,AL,0,0,1,0,0,0,0,3,1,0,0,1,1,0.25,0.0,0.0,0.0,0.0,0.0,5.0,0,0,0.0,0.0,0.0
aceveal01,2009,WS,NYA,AL,0,0,1,0,0,0,0,6,1,0,0,0,1,0.143,0.0,0.0,1.0,0.0,0.0,7.0,0,0,0.0,0.0,0.0
ackerji01,1985,ALCS,TOR,AL,0,0,2,0,0,0,0,18,2,0,0,0,5,0.095,0.0,0.0,0.0,0.0,0.0,21.0,2,0,0.0,0.0,0.0
ackerji01,1989,ALCS,TOR,AL,0,0,5,0,0,0,0,19,4,1,0,1,4,0.19,1.42,0.0,0.0,1.0,0.0,25.0,1,2,1.0,1.0,0.0
ackerji01,1991,ALCS,TOR,AL,0,0,1,0,0,0,0,2,1,0,0,0,1,0.333,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0,0.0,0.0
adamja01,2022,ALWC1,TBA,AL,0,0,1,0,0,0,0,6,1,0,0,0,2,0.2,0.0,0.0,0.0,1.0,0.0,6.0,0,0,0.0,0.0,2.0
adamsau02,2020,NLDS1,SDN,NL,0,0,2,0,0,0,0,2,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0,0,0.0,0.0,0.0
adamsau02,2020,NLWC2,SDN,NL,1,0,2,0,0,0,0,3,0,1,0,1,1,0.0,9.0,0.0,0.0,1.0,0.0,5.0,0,1,0.0,0.0,0.0
adamsba01,1909,WS,PIT,NL,3,0,3,3,3,1,0,81,18,4,2,6,11,0.186,1.33,0.0,0.0,1.0,0.0,106.0,0,5,2.0,0.0,0.0
adamsba01,1925,WS,PIT,NL,0,0,1,0,0,0,0,3,2,0,0,0,0,0.4,0.0,0.0,0.0,0.0,0.0,5.0,1,0,0.0,0.0,0.0
adamsmi03,2011,ALCS,TEX,AL,1,0,5,0,0,0,0,13,5,1,1,1,4,0.312,2.08,1.0,0.0,0.0,0.0,17.0,2,1,0.0,0.0,1.0
adamsmi03,2011,ALDS2,TEX,AL,0,0,3,0,0,0,0,6,1,1,1,3,1,0.167,4.5,0.0,0.0,0.0,0.0,9.0,0,1,0.0,0.0,0.0
adamsmi03,2011,WS,TEX,AL,1,0,3,0,0,0,0,6,5,1,0,2,1,0.455,4.5,0.0,0.0,0.0,0.0,13.0,0,1,0.0,0.0,0.0
affelje01,2007,NLCS,COL,NL,0,0,2,0,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0.0,0.0,0.0
affelje01,2007,NLDS2,COL,NL,0,0,1,0,0,0,0,3,1,1,1,0,2,0.25,9.0,0.0,0.0,0.0,0.0,4.0,0,1,0.0,0.0,0.0
affelje01,2007,WS,COL,NL,0,0,4,0,0,0,0,9,2,0,0,1,2,0.2,0.0,0.0,0.0,0.0,0.0,11.0,0,0,0.0,0.0,1.0
affelje01,2010,NLCS,SFN,NL,0,0,3,0,0,0,0,8,0,1,0,1,4,0.0,3.38,1.0,0.0,0.0,0.0,9.0,1,1,0.0,0.0,0.0
affelje01,2010,WS,SFN,NL,0,0,2,0,0,0,0,4,1,1,0,1,0,0.25,6.75,0.0,1.0,0.0,0.0,5.0,0,1,0.0,0.0,1.0
affelje01,2012,NLCS,SFN,NL,0,0,5,0,0,0,0,14,2,0,0,1,4,0.125,0.0,0.0,1.0,0.0,0.0,17.0,0,0,0.0,0.0,0.0
affelje01,2012,NLDS2,SFN,NL,0,0,3,0,0,0,0,11,3,0,0,1,2,0.214,0.0,1.0,0.0,1.0,0.0,16.0,0,0,0.0,0.0,0.0
affelje01,2012,WS,SFN,NL,0,0,2,0,0,0,0,6,0,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1,0,0.0,0.0,0.0
affelje01,2014,NLCS,SFN,NL,1,0,4,0,0,0,0,14,1,0,0,2,1,0.071,0.0,0.0,0.0,0.0,0.0,16.0,1,0,0.0,0.0,1.0
affelje01,2014,NLDS1,SFN,NL,0,0,3,0,0,0,0,5,1,0,0,0,1,0.2,0.0,0.0,0.0,0.0,0.0,5.0,1,0,0.0,0.0,1.0
affelje01,2014,WS,SFN,NL,1,0,4,0,0,0,0,16,3,0,0,0,0,0.188,0.0,0.0,0.0,1.0,0.0,17.0,0,0,0.0,0.0,3.0
agostju01,1983,ALCS,CHA,AL,0,0,1,0,0,0,0,1,0,0,0,0,0,0.24643425579655948,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,0.0
aguilri01,1986,NLCS,NYN,NL,0,0,2,0,0,0,0,15,2,0,0,2,2,0.125,0.0,0.0,0.0,0.0,0.0,19.0,0,1,1.0,0.0,1.0
aguilri01,1986,WS,NYN,NL,1,0,2,0,0,0,0,9,8,4,1,1,4,0.471,12.0,0.0,0.0,1.0,0.0,19.0,1,4,0.0,0.0,1.0
aguilri01,1988,NLCS,NYN,NL,0,0,3,0,0,0,0,21,3,1,0,2,4,0.125,1.29,0.0,0.0,0.0,0.0,26.0,1,1,0.0,0.0,0.0
aguilri01,1991,ALCS,MIN,AL,0,0,3,0,0,0,3,10,1,0,0,0,3,0.091,0.0,0.0,0.0,0.0,0.0,11.0,3,0,0.0,0.0,0.0
aguilri01,1991,WS,MIN,AL,1,1,4,0,0,0,2,15,6,1,0,1,3,0.316,1.8,0.0,0.0,0.0,0.0,20.0,4,1,0.0,0.0,0.0
aguilri01,1995,ALDS1,BOS,AL,0,0,1,0,0,0,0,2,3,1,1,0,1,0.6,13.5,0.0,0.0,0.0,0.0,5.0,0,1,0.0,0.0,0.0
alberma01,2017,NLDS2,WAS,NL,0,0,2,0,0,0,0,7,1,0,0,1,0,0.125,0.0,0.0,0.0,0.0,0.0,9.0,0,0,0.0,0.0,0.0
albural01,2011,ALCS,DET,AL,0,0,2,0,0,0,0,5,0,0,0,2,2,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1,0,0.0,0.0,0.0
albural01,2011,ALDS1,DET,AL,0,0,2,0,0,0,0,1,2,3,1,1,0,0.667,81.0,0.0,0.0,0.0,1.0,4.0,0,3,0.0,0.0,0.0
albural01,2012,ALDS2,DET,AL,1,0,2,0,0,0,0,4,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1,0,0.0,0.0,0.0
albural01,2012,WS,DET,AL,0,0,1,0,0,0,0,6,1,1,1,0,2,0.143,4.5,0.0,0.0,0.0,0.0,7.0,0,1,0.0,0.0,0.0
