pitches,player_id,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,player
52108,434378,52108,100,0.222,0.137,0.276,0.359,0.28,0.273,0.21,2634,11891,87.9,19.1,2537.0,90.1,89.07,6369,25594,26435,Justin Verlander
48905,453286,48905,100,0.22,0.152,0.288,0.371,0.284,0.264,0.2,2450,11150,87.1,18.6,2309.0,89.8,88.92,7148,24385,24463,Max Scherzer
47573,425844,47573,100,0.244,0.142,0.292,0.386,0.293,0.304,0.249,2805,11514,87.8,10.7,2245.0,87.2,85.35,5123,21865,25670,Zack Greinke
44996,452657,44996,100,0.248,0.141,0.299,0.389,0.306,0.312,0.249,2569,10355,87.4,11.4,2242.0,88.5,87.36,4555,20625,24353,Jon Lester
44494,477132,44494,100,0.211,0.119,0.274,0.33,0.261,0.267,0.218,2256,10683,87.2,10.4,2420.0,88.3,87.04,5895,21757,22637,Clayton Kershaw
38845,430935,38845,100,0.239,0.147,0.289,0.386,0.299,0.315,0.244,2224,9287,88.2,10.1,1993.0,87.7,88.04,4960,19083,19645,Cole Hamels
38680,425794,38680,100,0.253,0.132,0.302,0.385,0.301,0.328,0.27,2397,9462,87.4,10.4,2387.0,84.2,82.85,3497,17246,21355,Adam Wainwright
37110,448306,37110,100,0.258,0.171,0.297,0.429,0.324,0.341,0.258,2314,8986,88.5,13.7,2216.0,86.9,86.46,4033,17340,19699,James Shields
36752,456501,36752,100,0.246,0.151,0.285,0.397,0.307,0.32,0.258,2127,8644,87.2,12.8,2067.0,89.0,86.92,3712,17560,19122,Johnny Cueto
36293,518516,36293,100,0.239,0.151,0.286,0.39,0.295,0.315,0.247,2081,8715,88.7,15.7,2267.0,87.4,86.78,4041,17699,18501,Madison Bumgarner
35802,282332,35802,100,0.252,0.143,0.299,0.395,0.308,0.303,0.239,2196,8718,85.7,10.7,2099.0,88.2,86.93,4062,16909,18773,CC Sabathia
35779,450203,35779,100,0.248,0.136,0.307,0.384,0.314,0.302,0.23,2037,8223,87.7,8.4,2496.0,88.4,87.84,3979,16351,19338,Charlie Morton
35452,456034,35452,100,0.238,0.14,0.291,0.378,0.293,0.301,0.24,2021,8482,87.6,12.1,2073.0,90.6,89.09,3798,16961,18447,David Price
35231,458681,35231,100,0.245,0.15,0.301,0.394,0.309,0.305,0.234,1918,7839,87.7,13.5,2383.0,90.8,90.76,4125,16812,18352,Lance Lynn
34856,433587,34856,100,0.239,0.128,0.291,0.366,0.294,0.336,0.26,2022,8474,89.0,8.8,2047.0,89.5,86.46,3768,16172,18625,Félix Hernández
